example_id                                        | status | run_time        |
./spec/system/companies_spec.rb[1:3:2:2:8]        | passed | 0.11484 seconds |
./spec/system/companies_spec.rb[1:3:2:2:9]        | passed | 0.12518 seconds |
./spec/system/companies_spec.rb[1:3:2:2:10]       | passed | 0.10962 seconds |
./spec/system/companies_spec.rb[1:3:2:2:11]       | passed | 0.18026 seconds |
./spec/system/companies_spec.rb[1:3:2:2:12]       | passed | 0.1941 seconds  |
./spec/system/rooms_spec.rb[1:1:1:1]              | passed | 0.12237 seconds |
./spec/system/rooms_spec.rb[1:1:1:2]              | passed | 0.16148 seconds |
./spec/system/rooms_spec.rb[1:1:2:1]              | passed | 0.15877 seconds |
./spec/system/rooms_spec.rb[1:1:2:2]              | passed | 0.20252 seconds |
./spec/system/rooms_spec.rb[1:1:2:3]              | passed | 0.32805 seconds |
./spec/system/rooms_spec.rb[1:1:3:1]              | passed | 0.26101 seconds |
./spec/system/rooms_spec.rb[1:1:3:2]              | passed | 0.32452 seconds |
./spec/system/rooms_spec.rb[1:1:3:3]              | passed | 0.44547 seconds |
./spec/system/rooms_spec.rb[1:1:3:4]              | passed | 0.39853 seconds |
./spec/system/users_spec.rb[1:1:1:1:1]            | passed | 0.1036 seconds  |
./spec/system/users_spec.rb[1:1:1:1:2]            | passed | 0.11551 seconds |
./spec/system/users_spec.rb[1:1:2:1:1]            | passed | 0.08707 seconds |
./spec/system/users_spec.rb[1:1:2:1:2]            | passed | 0.05161 seconds |
./spec/system/users_spec.rb[1:2:1:1]              | passed | 0.09124 seconds |
./spec/system/users_spec.rb[1:2:1:2]              | passed | 0.10165 seconds |
./spec/system/users_spec.rb[1:2:2:1:1]            | passed | 0.09815 seconds |
./spec/system/users_spec.rb[1:2:2:2:1]            | passed | 0.11937 seconds |
./spec/system/users_spec.rb[1:2:2:2:2]            | passed | 0.10923 seconds |
./spec/system/users_spec.rb[1:2:2:2:3]            | passed | 0.09855 seconds |
./spec/system/users_spec.rb[1:2:2:2:4]            | passed | 0.10448 seconds |
./spec/system/users_spec.rb[1:2:2:2:5]            | passed | 0.10337 seconds |
./spec/system/users_spec.rb[1:2:2:2:6]            | passed | 0.11813 seconds |
./spec/system/users_spec.rb[1:2:2:2:7]            | passed | 0.10078 seconds |
./spec/system/users_spec.rb[1:2:2:2:8]            | passed | 0.12573 seconds |
./spec/system/users_spec.rb[1:2:2:2:9]            | passed | 0.10569 seconds |
./spec/system/users_spec.rb[1:2:2:2:10]           | passed | 0.10146 seconds |
./spec/system/users_spec.rb[1:2:2:2:11]           | passed | 0.12491 seconds |
./spec/system/users_spec.rb[1:2:2:2:12]           | passed | 0.15943 seconds |
./spec/system/users_spec.rb[1:2:2:2:13]           | passed | 0.26732 seconds |
